label	class	class_kr
1	High Income, expensive child	고수익, 자녀에 대한 투자
2	Very Important Provincials	지방 유지
3	High status seniors	고지위 고령자
4	Affluent senior apartments	아파트에 사는 부유한 고령자
5	Mixed seniors	섞인 고령자
6	Career and childcare	커리어와 자녀 
7	Dinki's (double income no kids)	딩키 족(맞벌이 무자녀)
8	Middle class families	중산층 가족
9	Modern, complete families	현대 대가족
10	Stable family	안정적인 가족
11	Family starters	가족 형성 초기
12	Affluent young families	부유한 젊은 가족
13	Young all american family	젊은 미국 가족
14	Junior cosmopolitan	젊은 코스모폴리탄
15	Senior cosmopolitans	고령 코스모폴리탄
16	Students in apartments	아파트에 사는 학생
17	Fresh masters in the city	도시에 사는 장인
18	Single youth	젊은 싱글
19	Suburban youth	젊은 교외 거주자
20	Etnically diverse	다양한 인종
21	Young urban have-nots	젊은 도시 빈민
22	Mixed apartment dwellers	섞인 아파트 거주자
23	Young and rising	젊은 성장
24	Young, low educated 	젊은 저학력자
25	Young seniors in the city	도시의 젊은 고령자
26	Own home elderly	자가 소유 고령자
27	Seniors in apartments	아파트에 사는 고령자
28	Residential elderly	주택에 사는 고령자
29	Porchless seniors: no front yard	현관이 없는 집에 사는 고령자
30	Religious elderly singles	종교적인 나이든 싱글
31	Low income catholics	저소득 카톨릭 신자
32	Mixed seniors	섞인 고령자
33	Lower class large families	지위가 낮은 대가족
34	Large family, employed child	자녀가 직업이 있는 대가족
35	Village families	촌락 거주 가족
36	Couples with teens 'Married with children'	10대 기혼자
37	Mixed small town dwellers	섞인 소도시 거주자
38	Traditional families	전통적인 가족
39	Large religous families	종교적인 대가족
40	Large family farms	농장 소유 대가족
41	Mixed rurals	섞인 시골 거주자
